,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.025201892852783202,0.0004008574785607548,0.012996768951416016,0.00062970293658715,0.1,0.1,0.0001,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.02270101083757259,0.004217610964136864,0.02459001549841522,0.018057268324531583,-0.004843472217830991,0.012944486681365053,0.011397530282947639,76
12,0.046905136108398436,0.008828940736158569,0.020519304275512695,0.004181544786108261,1,0.2,1,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}",0.1489256286804317,0.1415449910871972,0.09456017092918545,0.16366435682648028,0.12509252136768045,0.13475753377819502,0.02362900486070255,7
13,0.04032421112060547,0.002885542510168966,0.015801429748535156,0.0011677411679494416,1,0.2,0.1,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.13159751028630207,0.11917935390510337,0.09665360634623821,0.1161122076446155,0.09886578862272077,0.11248169336099598,0.013110110204250807,12
14,0.03940186500549316,0.001361533826544497,0.016327047348022462,0.0008492100652461222,1,0.2,0.2,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}",0.13199716708910558,0.1273913056883802,0.08192786851433864,0.12866521117646945,0.11393182317888106,0.11678267512943499,0.018483524403402517,9
15,0.03399748802185058,0.0010963239805681796,0.013002681732177734,5.596288953900682e-06,1,0.2,0.01,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.12568576701377165,0.07615354092386517,0.10976045442011995,0.07117927720776707,0.039043758415811314,0.08436455959626703,0.030488165491829953,19
16,0.028397750854492188,0.0016241503148158305,0.013999748229980468,0.0008958609806824508,1,0.2,0.001,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.09784359144018373,0.05762383073945376,0.09086839451496054,0.061584038974772604,0.02407223618365817,0.06639841837060576,0.026378991555658347,43
17,0.030800580978393555,0.004116851973299982,0.01459965705871582,0.0013557026302310291,1,0.2,0.0001,rbf,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.048428744217953845,0.022751979838789738,0.03474051998535477,0.027621827526583154,-0.004440945403525687,0.025820425233031165,0.017430520003018656,65
18,0.0414886474609375,0.0011681204839666126,0.017800331115722656,0.0015987461917562982,1,0.1,1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.14881037241906536,0.1415310134235741,0.09422472343314803,0.1631803838071566,0.12551687336701545,0.13465267328999192,0.023577380027619284,8
19,0.03920450210571289,0.0017233670010891617,0.01559605598449707,0.0007991979199603046,1,0.1,0.1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.13180782220332343,0.11958205046367576,0.0969362656542927,0.11652106455031042,0.09821470447009384,0.11261238146833923,0.013306785820109515,11
20,0.046198272705078126,0.00803694245743657,0.019600534439086915,0.0036090826108726663,1,0.1,0.2,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}",0.1326018211527321,0.12693749447425506,0.08247558951649137,0.1276166503895101,0.11327118606380815,0.11658054831935935,0.018220006362476126,10
21,0.05380182266235352,0.007857904716783996,0.01939539909362793,0.0014974209182630211,1,0.1,0.01,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.12462567443308714,0.07622082832867294,0.10963586717052476,0.06966437572539286,0.03993194802300415,0.08401573873613637,0.03005215702897479,20
22,0.03346123695373535,0.005441935755584147,0.015951013565063475,0.0022139568285715148,1,0.1,0.001,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.09753988817679471,0.056937063136636934,0.09114489546164228,0.061231180723447465,0.024726063967439926,0.06631581829319226,0.02621048593792814,44
23,0.029999399185180665,0.0032257786825268292,0.015200281143188476,0.001936404475242398,1,0.1,0.0001,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.048753428023925016,0.022061518930774127,0.03488047994961163,0.02647736224312003,-0.004028171181874818,0.025628923593111197,0.017397261249107156,66
24,0.047198820114135745,0.0007471726264355113,0.018216466903686522,0.0007689563390449924,10,0.2,1,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}",0.22235492495654519,0.19058469021914393,0.12166354651342559,0.26489265725552336,0.19251529889846686,0.19840222356862097,0.04686001267941624,1
25,0.044390296936035155,0.0016784229774065391,0.016398811340332033,0.0014966505484659217,10,0.2,0.1,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.14440702468416633,0.16695878413691811,0.09427084067284464,0.17008314353128517,0.20693604714354508,0.15653116803375186,0.037030760917383956,3
26,0.06980009078979492,0.020875092321403235,0.02459888458251953,0.004079173045005666,10,0.2,0.2,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}",0.15985008675606582,0.16902570732966116,0.05665672251224252,0.1782577227975074,0.20294879533466614,0.15334780694602862,0.05043412330755078,5
27,0.045397472381591794,0.0013577616631685837,0.015203428268432618,0.0014690074366676398,10,0.2,0.01,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.15815183381645437,0.08786809022642206,0.12113343038336744,0.0790127474167287,0.09267304911966623,0.10776783019252775,0.02887176455098137,15
28,0.02919659614562988,0.002401544150021099,0.013402700424194336,0.0004918377082259401,10,0.2,0.001,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.10575586421366812,0.0675983100345422,0.12241729143013513,0.056090735067288344,0.03856337250436881,0.07808511465000052,0.031262457312173475,33
29,0.027596330642700194,0.0017414508586909572,0.013000869750976562,0.0006333938484373667,10,0.2,0.0001,rbf,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.06342129542080377,0.022551193278497972,0.04125979778199129,0.019360042603634775,-0.026015459906058247,0.02411537383577391,0.029587318471569823,67
30,0.06210837364196777,0.014904909203171666,0.031045913696289062,0.011744655721537633,10,0.1,1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.2219971513122142,0.19003236501196863,0.122735742161039,0.26439875818550795,0.19126384084097114,0.19808557150234019,0.04638575061985453,2
31,0.04808034896850586,0.004519067282332105,0.018038415908813478,0.002081250006585192,10,0.1,0.1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.14406345488661898,0.16600241239852553,0.09342929840646119,0.17226062402591968,0.20624143774279857,0.1563994454920648,0.037270455424134014,4
32,0.044997024536132815,0.0008948537999254244,0.017000770568847655,0.001790012177392202,10,0.1,0.2,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}",0.15943158514796285,0.168486713249288,0.05655085167072571,0.17832418508071357,0.20217042874560942,0.1529927527788599,0.05028456410995672,6
33,0.042600059509277345,0.003261834645932639,0.015200471878051758,0.003657027009767154,10,0.1,0.01,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.1590835838630793,0.0893907910487014,0.12154537540239674,0.07913454095084882,0.09227301259871312,0.10828546077274788,0.029049811746225732,14
34,0.028998136520385742,0.0020981480956969735,0.01300201416015625,0.0006327139045637727,10,0.1,0.001,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.10470883260638475,0.06779653828546395,0.12294767385306904,0.056135631428058774,0.037353800113627655,0.07778849525732083,0.03152048940587534,34
35,0.04459834098815918,0.02231403281261622,0.028001165390014647,0.020002591831242457,10,0.1,0.0001,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.06279017023331968,0.021628648929901573,0.03996266931916126,0.019719743196297768,-0.025527564123078328,0.02371473351112039,0.0291067028220077,68
36,0.0795022964477539,0.03063413322484718,0.02702360153198242,0.011961269058167677,100,0.2,1,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}",0.1376279490344613,-0.012401527311181715,0.0963039092401603,0.20779886067859732,0.11328477434969053,0.10852279319834554,0.07141080667650845,13
37,0.059197092056274415,0.003967224521242372,0.017201995849609374,0.0011668595922093496,100,0.2,0.1,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",-0.05793115006093541,0.0914203337124826,-0.023826904488677858,0.029544015688316216,0.1355791963374815,0.03495709823773341,0.0713105752290542,64
38,0.056798791885375975,0.0033101651502154992,0.016600370407104492,0.0004901772573843786,100,0.2,0.2,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}",-0.01643423886457107,0.07460788020389553,0.02451713342284978,0.09809307377429688,0.07725717263901433,0.051608204235097085,0.04174062278322419,55
39,0.05479540824890137,0.0030580930390946954,0.012599706649780273,0.0004906608249532929,100,0.2,0.01,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.15900293440268176,0.05872670628628407,0.12443132465704965,0.02968847580070233,0.040906859838598875,0.08255126019706334,0.05038876404996352,24
40,0.036598491668701175,0.0012001830563323674,0.01320056915283203,0.0009817032274416456,100,0.2,0.001,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.1312861095377983,0.05830710221188462,0.14421168906881265,0.040600540200873336,0.024357116160628745,0.07975251143599953,0.048728081350524664,31
41,0.04299993515014648,0.006034448762235285,0.028199243545532226,0.023163399037844076,100,0.2,0.0001,rbf,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.07978902867320103,0.04416728277471982,0.07936793597007441,0.02627508408328827,-0.005586108950819346,0.04480264451009284,0.032562269901744635,60
42,0.13056139945983886,0.03550354620506968,0.05090737342834473,0.02436082044843092,100,0.1,1,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.13521675205925543,-0.015028902980531722,0.09609671686258836,0.20840250728133336,0.1112935619511608,0.10719612703476125,0.07225902112633492,16
43,0.09563360214233399,0.032916830646043234,0.02510075569152832,0.010439815926181603,100,0.1,0.1,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.05671477935928393,0.09238120545338646,-0.023101899760935796,0.02901356458746651,0.13467854154576586,0.03525132649327982,0.07078328542338791,63
44,0.06419920921325684,0.01458125870175013,0.017998647689819337,0.0030319891116274904,100,0.1,0.2,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}",-0.014940834191234709,0.07330053148084403,0.02331976547599346,0.0956713021350436,0.07485396279603052,0.05044094553933538,0.04043433384521833,58
45,0.05680088996887207,0.0023983962540881612,0.01399836540222168,0.0014161690440543857,100,0.1,0.01,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.15902458345541215,0.058067505254748686,0.12348896672370868,0.026808856695874406,0.04190150797005754,0.08185828401996029,0.05075576039467665,27
46,0.03842248916625977,0.0012322474204940488,0.01400008201599121,0.0006334043125236648,100,0.1,0.001,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.13076601466687598,0.058247169834738544,0.14412238997426696,0.040803450733026714,0.024137704051635733,0.07961534585210879,0.04861744656059509,32
47,0.0362001895904541,0.0011643602098732866,0.013399934768676758,0.0004903918755810649,100,0.1,0.0001,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.07988800353977488,0.044293071597061306,0.0787484066460794,0.02602928945430305,-0.007310561474157984,0.04432964195261213,0.033017157026913,61
48,0.05759849548339844,0.0013577216324282245,0.018398571014404296,0.0010201494147835822,300,0.2,1,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}",0.11879206637754836,-0.021392909588284548,0.08028956831866751,0.13923239487394223,0.10082651397563525,0.08354952679150177,0.05597259144097465,21
49,0.07819952964782714,0.008279837704038277,0.022599458694458008,0.007891401259443995,300,0.2,0.1,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",-0.11848408397219701,0.022761295968377504,-0.012849760678853794,-0.10290938687047713,0.06543210159432844,-0.029209966791764398,0.0711719918558174,87
50,0.13319740295410157,0.03810337978745749,0.028510618209838866,0.004075229929509963,300,0.2,0.2,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}",-0.041840099446823764,-0.025268420466963093,-0.0028847152244004803,0.11272720418378024,0.04750854511763869,0.018048502832646317,0.05609483171617045,70
51,0.1350008010864258,0.07085279669432323,0.02899961471557617,0.006479057445110928,300,0.2,0.01,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.1570484886684862,0.03917535853103682,0.1277302616241811,0.012878516365153914,0.005065287088620529,0.06837958245549572,0.06217175094331937,38
