score,parameters
-0.03993364804143644,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
0.017369994878128493,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
0.0371200149432304,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
0.017278376347556357,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
-0.01307669031451506,"{'C': 1000, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
-0.04380332589394651,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.05874777719929971,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.013150265325630794,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.035391009707803844,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
0.020468869804768964,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
-0.014740564438670644,"{'C': 1000, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
-0.045049335804211,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.05964298839525215,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
0.013056325975745598,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
0.036499733816023824,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
0.021363157150465262,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
