,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
40,1.6354188919067383,0.057528663066626205,0.005208730697631836,0.007366257595340015,relu,0.0001,"(50, 50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.6780487804878049,0.7268292682926829,0.6813725490196079,0.6954168659333652,0.022253331223302288,30
41,0.3802097638448079,0.07690205783485679,0.0052076975504557295,0.007364796504591637,relu,0.0001,"(50, 50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6878048780487804,0.7121951219512195,0.696078431372549,0.6986928104575162,0.010127429186950726,26
42,2.1145822207132974,0.04100956948781511,0.0,0.0,relu,0.0001,"(50, 100, 50)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.6536585365853659,0.697560975609756,0.6764705882352942,0.6758967001434719,0.01792768898899178,64
43,0.6614545981089274,0.1810203132959709,0.005208412806193034,0.007365808028955899,relu,0.0001,"(50, 100, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.6682926829268293,0.7170731707317073,0.6862745098039216,0.6905467878208192,0.020142380978270893,40
44,0.5468740463256836,0.12170057122892289,0.01041738192240397,0.007366201431052221,relu,0.0001,"(50, 100, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.7121951219512195,0.7170731707317073,0.5931372549019608,0.6741351825282959,0.05730879542616452,67
45,2.1145825386047363,0.0321063745252828,0.01041722297668457,0.007366089008589047,relu,0.0001,"(50, 100, 50)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.7219512195121951,0.697560975609756,0.6862745098039216,0.7019289016419575,0.014888832219020008,20
46,2.122838338216146,0.1258688062947244,0.005208174387613933,0.007365470854167811,relu,0.0001,"(50, 100, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7073170731707317,0.697560975609756,0.7058823529411765,0.7035868005738881,0.004300971239773738,17
47,0.7254830996195475,0.3208690678917252,0.00520785649617513,0.007365021287783696,relu,0.0001,"(50, 100, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6926829268292682,0.6682926829268293,0.6176470588235294,0.6595408895265423,0.03125210166409766,93
48,0.6831741333007812,0.014525907069034253,0.0,0.0,relu,0.0001,"(100,)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.7317073170731707,0.7219512195121951,0.6715686274509803,0.708409054678782,0.026352838792687135,12
49,0.23210716247558594,0.030262534616869157,0.002666950225830078,0.0037716371795428853,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.6878048780487804,0.7121951219512195,0.6617647058823529,0.6872549019607842,0.02059180373340769,46
